runId,startedAt,endedAt,mode,benchmarkCategory,scenarioName,intervalMs,durationMs,operationCount,finalCrdtValue,averageOperationTimeMs,maxOperationTimeMs,burstSize,burstMergeTimeMs,notes
run_1784454690608_5c26db7fc9e03,2026-07-19T09:51:30.608Z,2026-07-19T09:51:30.608Z,classic_bridge,architecture_comparison,architecture_burst_5000,0,53.203166007995605,1,5000,53.203166007995605,53.203166007995605,5000,53.203166007995605,One deterministic merge call over 5000 CRDT entries
run_1784454691257_3826e805c773c4,2026-07-19T09:51:31.257Z,2026-07-19T09:51:31.257Z,classic_bridge,architecture_comparison,architecture_burst_10000,0,68.64820790290833,1,10000,68.64820790290833,68.64820790290833,10000,68.64820790290833,One deterministic merge call over 10000 CRDT entries
run_1784454691846_559675784f94e8,2026-07-19T09:51:31.846Z,2026-07-19T09:51:31.846Z,js,architecture_comparison,architecture_burst_1000,0,7.713958024978638,1,1000,7.713958024978638,7.713958024978638,1000,7.713958024978638,One deterministic merge call over 1000 CRDT entries
run_1784454692531_f9cdfbaba958c8,2026-07-19T09:51:32.531Z,2026-07-19T09:51:32.531Z,js,architecture_comparison,architecture_burst_5000,0,26.424583077430725,1,5000,26.424583077430725,26.424583077430725,5000,26.424583077430725,One deterministic merge call over 5000 CRDT entries
run_1784454693143_657950ae5a35a4,2026-07-19T09:51:33.143Z,2026-07-19T09:51:33.143Z,js,architecture_comparison,architecture_burst_10000,0,38.464792013168335,1,10000,38.464792013168335,38.464792013168335,10000,38.464792013168335,One deterministic merge call over 10000 CRDT entries
run_1784454694911_2faa798ff86c8c,2026-07-19T09:51:34.911Z,2026-07-19T09:51:34.911Z,js,architecture_comparison,architecture_burst_10000,0,39.87070906162262,1,10000,39.87070906162262,39.87070906162262,10000,39.87070906162262,One deterministic merge call over 10000 CRDT entries
run_1784454695564_0e07075e3008378,2026-07-19T09:51:35.564Z,2026-07-19T09:51:35.564Z,js,architecture_comparison,architecture_burst_5000,0,26.147249937057495,1,5000,26.147249937057495,26.147249937057495,5000,26.147249937057495,One deterministic merge call over 5000 CRDT entries
run_1784454696096_87c43653e6ae38,2026-07-19T09:51:36.096Z,2026-07-19T09:51:36.096Z,js,architecture_comparison,architecture_burst_1000,0,8.354458928108215,1,1000,8.354458928108215,8.354458928108215,1000,8.354458928108215,One deterministic merge call over 1000 CRDT entries
run_1784454696743_1dc9f87c1a595e,2026-07-19T09:51:36.743Z,2026-07-19T09:51:36.743Z,classic_bridge,architecture_comparison,architecture_burst_1000,0,38.519457936286926,1,1000,38.519457936286926,38.519457936286926,1000,38.519457936286926,One deterministic merge call over 1000 CRDT entries
run_1784454697343_d7a5187f7a74e,2026-07-19T09:51:37.343Z,2026-07-19T09:51:37.343Z,classic_bridge,architecture_comparison,architecture_burst_5000,0,54.682958006858826,1,5000,54.682958006858826,54.682958006858826,5000,54.682958006858826,One deterministic merge call over 5000 CRDT entries
