runId,startedAt,endedAt,mode,benchmarkCategory,scenarioName,intervalMs,durationMs,operationCount,finalCrdtValue,averageOperationTimeMs,maxOperationTimeMs,burstSize,burstMergeTimeMs,notes
run_1784378023906_dc617cc033675,2026-07-18T12:32:43.896Z,2026-07-18T12:33:43.906Z,js,dashboard_continuous,dashboard_continuous_5000_20ms,20,60000,1799,2070948442,5.855392905856053,24.391666054725647,0,0,Completed full 60s dashboard workload benchmark
run_1784378084865_915511fb0482a,2026-07-18T12:33:44.852Z,2026-07-18T12:34:44.865Z,js,dashboard_continuous,dashboard_continuous_5000_20ms,20,60000,1800,2070948442,5.9265196914805305,24.156458020210266,0,0,Completed full 60s dashboard workload benchmark
run_1784378153178_216b8f2b38beea,2026-07-18T12:34:53.167Z,2026-07-18T12:35:53.178Z,native,dashboard_continuous,dashboard_continuous_5000_20ms,20,60000,1800,2070948442,1.2131267594628863,18.199875116348267,0,0,Completed full 60s dashboard workload benchmark
run_1784378215291_7540054215e674,2026-07-18T12:35:55.280Z,2026-07-18T12:36:55.291Z,js,dashboard_continuous,dashboard_continuous_5000_20ms,20,60000,1800,2070948442,5.952022672626708,23.96554207801819,0,0,Completed full 60s dashboard workload benchmark
run_1784378276321_3caf95faa797b8,2026-07-18T12:36:56.310Z,2026-07-18T12:37:56.321Z,native,dashboard_continuous,dashboard_continuous_5000_20ms,20,60000,1800,2070948442,1.2030744879113304,18.222874999046326,0,0,Completed full 60s dashboard workload benchmark
run_1784378351666_d68d0ff22b56e8,2026-07-18T12:38:11.655Z,2026-07-18T12:39:11.666Z,native,dashboard_continuous,dashboard_continuous_5000_20ms,20,60000,1800,2070948442,1.2092658743593427,17.049957990646362,0,0,Completed full 60s dashboard workload benchmark
run_1784378412529_9685faadaff3b8,2026-07-18T12:39:12.518Z,2026-07-18T12:40:12.529Z,native,dashboard_continuous,dashboard_continuous_5000_20ms,20,60000,1800,2070948442,1.1989635858933132,16.598582983016968,0,0,Completed full 60s dashboard workload benchmark
run_1784378474758_3353095a433e5a,2026-07-18T12:40:14.747Z,2026-07-18T12:41:14.758Z,js,dashboard_continuous,dashboard_continuous_5000_20ms,20,60000,1800,2070948442,5.884237847593096,25.346458077430725,0,0,Completed full 60s dashboard workload benchmark
run_1784378539054_19df3351e82506,2026-07-18T12:41:19.044Z,2026-07-18T12:42:19.054Z,native,dashboard_continuous,dashboard_continuous_5000_20ms,20,60000,1800,2070948442,1.2070011156135134,21.012499928474426,0,0,Completed full 60s dashboard workload benchmark
run_1784378601300_1e7bda753567b8,2026-07-18T12:42:21.290Z,2026-07-18T12:43:21.300Z,js,dashboard_continuous,dashboard_continuous_5000_20ms,20,60000,1800,2070948442,5.931459864245521,25.265709042549133,0,0,Completed full 60s dashboard workload benchmark
