runId,startedAt,endedAt,mode,benchmarkCategory,scenarioName,intervalMs,durationMs,operationCount,finalCrdtValue,averageOperationTimeMs,maxOperationTimeMs,burstSize,burstMergeTimeMs,notes
run_1784454529217_babc4b06175b9,2026-07-19T09:48:49.217Z,2026-07-19T09:48:49.217Z,classic_bridge,architecture_comparison,architecture_increment_5000,0,388.191290974617,5000,5000,0.0776382581949234,388.191290974617,0,0,5000 awaited increment operations; native paths include JS-native interop overhead
run_1784454529962_4813dbf69b92c,2026-07-19T09:48:49.962Z,2026-07-19T09:48:49.962Z,turbo_module,architecture_comparison,architecture_increment_5000,0,233.37941598892212,5000,5000,0.04667588319778442,233.37941598892212,0,0,5000 awaited increment operations; native paths include JS-native interop overhead
run_1784454530489_fce52dfbf224c,2026-07-19T09:48:50.489Z,2026-07-19T09:48:50.489Z,js,architecture_comparison,architecture_increment_10000,0,10.413542032241821,10000,10000,0.001041354203224182,10.413542032241821,0,0,10000 awaited increment operations; native paths include JS-native interop overhead
run_1784454531991_df8d356af335d,2026-07-19T09:48:51.991Z,2026-07-19T09:48:51.991Z,classic_bridge,architecture_comparison,architecture_increment_10000,0,711.8819999694824,10000,10000,0.07118819999694824,711.8819999694824,0,0,10000 awaited increment operations; native paths include JS-native interop overhead
run_1784454532866_bfb40e2182db58,2026-07-19T09:48:52.866Z,2026-07-19T09:48:52.866Z,turbo_module,architecture_comparison,architecture_increment_10000,0,387.03420901298523,10000,10000,0.038703420901298524,387.03420901298523,0,0,10000 awaited increment operations; native paths include JS-native interop overhead
run_1784454540516_837a29d95bd4d,2026-07-19T09:49:00.516Z,2026-07-19T09:49:00.516Z,turbo_module,architecture_comparison,architecture_increment_10000,0,387.35049998760223,10000,10000,0.03873504999876022,387.35049998760223,0,0,10000 awaited increment operations; native paths include JS-native interop overhead
run_1784454541658_63242d338406c8,2026-07-19T09:49:01.658Z,2026-07-19T09:49:01.658Z,classic_bridge,architecture_comparison,architecture_increment_10000,0,712.7326250076294,10000,10000,0.07127326250076294,712.7326250076294,0,0,10000 awaited increment operations; native paths include JS-native interop overhead
run_1784454542055_c9e06f82936028,2026-07-19T09:49:02.055Z,2026-07-19T09:49:02.055Z,js,architecture_comparison,architecture_increment_10000,0,9.918334007263184,10000,10000,0.0009918334007263184,9.918334007263184,0,0,10000 awaited increment operations; native paths include JS-native interop overhead
run_1784454543507_8e42e654037b18,2026-07-19T09:49:03.507Z,2026-07-19T09:49:03.507Z,turbo_module,architecture_comparison,architecture_increment_5000,0,228.28045797348022,5000,5000,0.045656091594696045,228.28045797348022,0,0,5000 awaited increment operations; native paths include JS-native interop overhead
run_1784454544431_36c3effbdcf8e,2026-07-19T09:49:04.431Z,2026-07-19T09:49:04.431Z,classic_bridge,architecture_comparison,architecture_increment_5000,0,385.82387495040894,5000,5000,0.07716477499008179,385.82387495040894,0,0,5000 awaited increment operations; native paths include JS-native interop overhead
run_1784454544867_a69660152d7d78,2026-07-19T09:49:04.867Z,2026-07-19T09:49:04.867Z,js,architecture_comparison,architecture_increment_5000,0,5.87375009059906,5000,5000,0.001174750018119812,5.87375009059906,0,0,5000 awaited increment operations; native paths include JS-native interop overhead
run_1784454545778_02d3708453210be,2026-07-19T09:49:05.778Z,2026-07-19T09:49:05.778Z,turbo_module,architecture_comparison,architecture_increment_1000,0,67.6397500038147,1000,1000,0.0676397500038147,67.6397500038147,0,0,1000 awaited increment operations; native paths include JS-native interop overhead
run_1784454546477_a1088170912318,2026-07-19T09:49:06.477Z,2026-07-19T09:49:06.477Z,classic_bridge,architecture_comparison,architecture_increment_1000,0,82.84020793437958,1000,1000,0.08284020793437957,82.84020793437958,0,0,1000 awaited increment operations; native paths include JS-native interop overhead
run_1784454547146_e3fb02ce10ba78,2026-07-19T09:49:07.146Z,2026-07-19T09:49:07.146Z,js,architecture_comparison,architecture_increment_1000,0,1.3025000095367432,1000,1000,0.0013025000095367432,1.3025000095367432,0,0,1000 awaited increment operations; native paths include JS-native interop overhead
run_1784454550529_893226e0945c18,2026-07-19T09:49:10.529Z,2026-07-19T09:49:10.529Z,js,architecture_comparison,architecture_increment_1000,0,1.301292061805725,1000,1000,0.0013012920618057252,1.301292061805725,0,0,1000 awaited increment operations; native paths include JS-native interop overhead
run_1784454551205_5c1726fa3dbbf8,2026-07-19T09:49:11.205Z,2026-07-19T09:49:11.205Z,classic_bridge,architecture_comparison,architecture_increment_1000,0,127.16708302497864,1000,1000,0.12716708302497864,127.16708302497864,0,0,1000 awaited increment operations; native paths include JS-native interop overhead
run_1784454551883_092a482dc582a4,2026-07-19T09:49:11.883Z,2026-07-19T09:49:11.883Z,turbo_module,architecture_comparison,architecture_increment_1000,0,105.35958397388458,1000,1000,0.10535958397388458,105.35958397388458,0,0,1000 awaited increment operations; native paths include JS-native interop overhead
run_1784454552467_cde9d337e891e8,2026-07-19T09:49:12.467Z,2026-07-19T09:49:12.467Z,js,architecture_comparison,architecture_increment_5000,0,5.7088329792022705,5000,5000,0.001141766595840454,5.7088329792022705,0,0,5000 awaited increment operations; native paths include JS-native interop overhead
run_1784454553551_24a6c8d12b015a,2026-07-19T09:49:13.551Z,2026-07-19T09:49:13.551Z,classic_bridge,architecture_comparison,architecture_increment_5000,0,389.4624580144882,5000,5000,0.07789249160289764,389.4624580144882,0,0,5000 awaited increment operations; native paths include JS-native interop overhead
run_1784454554205_edbc1e331a899,2026-07-19T09:49:14.205Z,2026-07-19T09:49:14.205Z,turbo_module,architecture_comparison,architecture_increment_5000,0,226.80537497997284,5000,5000,0.045361074995994566,226.80537497997284,0,0,5000 awaited increment operations; native paths include JS-native interop overhead
run_1784454554671_e413a99818f258,2026-07-19T09:49:14.671Z,2026-07-19T09:49:14.671Z,js,architecture_comparison,architecture_increment_10000,0,9.730916976928711,10000,10000,0.0009730916976928711,9.730916976928711,0,0,10000 awaited increment operations; native paths include JS-native interop overhead
run_1784454556155_b8f017cd2fc9e8,2026-07-19T09:49:16.155Z,2026-07-19T09:49:16.155Z,classic_bridge,architecture_comparison,architecture_increment_10000,0,710.1547499895096,10000,10000,0.07101547499895096,710.1547499895096,0,0,10000 awaited increment operations; native paths include JS-native interop overhead
run_1784454556935_7b3ee0fda72a9c,2026-07-19T09:49:16.935Z,2026-07-19T09:49:16.935Z,turbo_module,architecture_comparison,architecture_increment_10000,0,390.2108750343323,10000,10000,0.03902108750343323,390.2108750343323,0,0,10000 awaited increment operations; native paths include JS-native interop overhead
