runId,startedAt,endedAt,mode,benchmarkCategory,scenarioName,intervalMs,durationMs,operationCount,finalCrdtValue,averageOperationTimeMs,maxOperationTimeMs,burstSize,burstMergeTimeMs,notes
run_1784380942296_3549a9df393f3a,2026-07-18T13:21:22.284Z,2026-07-18T13:22:22.296Z,native,dashboard_continuous,dashboard_continuous_1000_100ms,100,60000,515,799004929,1.406521786,15.68299997,0,0,Completed full 60s dashboard workload benchmark
run_1784381024457_0751894ecddcee,2026-07-18T13:22:44.448Z,2026-07-18T13:23:44.457Z,js,dashboard_continuous,dashboard_continuous_1000_100ms,100,60000,515,799004929,3.576442524,21.12833297,0,0,Completed full 60s dashboard workload benchmark
run_1784381085579_21d819fcd97152,2026-07-18T13:23:45.575Z,2026-07-18T13:24:45.579Z,native,dashboard_continuous,dashboard_continuous_1000_100ms,100,60000,515,799004929,1.450490224,18.04041708,0,0,Completed full 60s dashboard workload benchmark
run_1784381326692_ebcc41ebd6c078,2026-07-18T13:27:46.689Z,2026-07-18T13:28:46.692Z,js,dashboard_continuous,dashboard_continuous_1000_100ms,100,60000,515,799004929,3.571593753,17.0208751,0,0,Completed full 60s dashboard workload benchmark
run_1784381398716_23fa4ccb017b5,2026-07-18T13:28:58.704Z,2026-07-18T13:29:58.716Z,native,dashboard_continuous,dashboard_continuous_1000_100ms,100,60000,515,799004929,1.397690959,17.63158405,0,0,Completed full 60s dashboard workload benchmark
run_1784381474179_c7cb2adef11668,2026-07-18T13:30:14.166Z,2026-07-18T13:31:14.179Z,js,dashboard_continuous,dashboard_continuous_1000_100ms,100,60000,515,799004929,3.564037131,12.48520911,0,0,Completed full 60s dashboard workload benchmark
run_1784381545576_113af9aaa79ce2,2026-07-18T13:31:25.563Z,2026-07-18T13:32:25.576Z,js,dashboard_continuous,dashboard_continuous_1000_100ms,100,60000,515,799004929,3.568397054,9.984082937,0,0,Completed full 60s dashboard workload benchmark
run_1784381614623_753cfd63ff3f14,2026-07-18T13:32:34.611Z,2026-07-18T13:33:34.623Z,native,dashboard_continuous,dashboard_continuous_1000_100ms,100,60000,515,799004929,1.413435819,16.7171669,0,0,Completed full 60s dashboard workload benchmark
run_1784381707326_635eb85e2b648,2026-07-18T13:34:07.324Z,2026-07-18T13:35:07.326Z,native,dashboard_continuous,dashboard_continuous_1000_100ms,100,60000,515,799004929,1.429544682,17.99349999,0,0,Completed full 60s dashboard workload benchmark
run_1784381849100_a2a66bf5338b1,2026-07-18T13:36:29.084Z,2026-07-18T13:37:29.100Z,js,dashboard_continuous,dashboard_continuous_1000_50ms,50,60000,901,799004929,3.491493972,18.19795895,0,0,Completed full 60s dashboard workload benchmark
